title,genres,description
The Matrix,Action Sci-Fi,"A hacker learns about the true nature of his reality and his role in the war against its controllers."
Inception,Action Sci-Fi Thriller,"A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea."
Interstellar,Sci-Fi Drama,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
The Godfather,Crime Drama,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
Pulp Fiction,Crime Drama,"The lives of two mob hitmen, a boxer, and a pair of diner bandits intertwine in four tales of violence and redemption."
Toy Story,Animation Family,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
The Shawshank Redemption,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption through acts of common decency."
The Dark Knight,Action Crime Drama,"Batman faces the Joker, a criminal mastermind who plunges Gotham City into anarchy."
La La Land,Musical Romance,"A jazz musician and an aspiring actress fall in love while pursuing their dreams in Los Angeles."
Alien,Horror Sci-Fi,"The crew of a commercial spacecraft encounter a deadly lifeform after investigating a distress call."
Back to the Future,Adventure Comedy Sci-Fi,"A teenager is accidentally sent 30 years into the past in a time-traveling DeLorean invented by a slightly mad scientist."
